n,accuracy,macro_precision,macro_recall,macro_f1,model,slug,scenario,input_size,main,fold
36,1.0,1.0,1.0,1.0,MobileNet-V2,mobilenetv2,HoleAlign Test,224 x 224,True,fold_5
180,0.8722222222222222,0.8984848484848484,0.8722222222222222,0.8728778467908902,MobileNet-V2,mobilenetv2,Original RR,224 x 224,True,fold_1
180,0.8666666666666667,0.8950617283950617,0.8666666666666667,0.8676478430117848,MobileNet-V2,mobilenetv2,Original RR,224 x 224,True,fold_2
180,0.8222222222222222,0.866201469501326,0.8222222222222223,0.8225849611988226,MobileNet-V2,mobilenetv2,Original RR,224 x 224,True,fold_3
180,0.8777777777777778,0.8985568760611206,0.8777777777777777,0.875200900032144,MobileNet-V2,mobilenetv2,Original RR,224 x 224,True,fold_4
180,0.8888888888888888,0.9046393762183236,0.8888888888888888,0.8893329580636081,MobileNet-V2,mobilenetv2,Original RR,224 x 224,True,fold_5
180,1.0,1.0,1.0,1.0,MobileNet-V2,mobilenetv2,RR + HoleAlign,224 x 224,True,fold_1
180,0.9722222222222222,0.9733742959549412,0.9722222222222222,0.9719126842016816,MobileNet-V2,mobilenetv2,RR + HoleAlign,224 x 224,True,fold_2
180,0.9888888888888889,0.989247311827957,0.9888888888888889,0.9888858016115588,MobileNet-V2,mobilenetv2,RR + HoleAlign,224 x 224,True,fold_3
180,1.0,1.0,1.0,1.0,MobileNet-V2,mobilenetv2,RR + HoleAlign,224 x 224,True,fold_4
180,1.0,1.0,1.0,1.0,MobileNet-V2,mobilenetv2,RR + HoleAlign,224 x 224,True,fold_5
36,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9721739130434782,Inception-V3,inceptionv3,Original Test,299 x 299,False,fold_1
36,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9721739130434782,Inception-V3,inceptionv3,Original Test,299 x 299,False,fold_2
36,1.0,1.0,1.0,1.0,Inception-V3,inceptionv3,Original Test,299 x 299,False,fold_3
36,1.0,1.0,1.0,1.0,Inception-V3,inceptionv3,Original Test,299 x 299,False,fold_4
36,1.0,1.0,1.0,1.0,Inception-V3,inceptionv3,Original Test,299 x 299,False,fold_5
36,1.0,1.0,1.0,1.0,Inception-V3,inceptionv3,HoleAlign Test,299 x 299,False,fold_1
36,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9721739130434782,Inception-V3,inceptionv3,HoleAlign Test,299 x 299,False,fold_2
36,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9721739130434782,Inception-V3,inceptionv3,HoleAlign Test,299 x 299,False,fold_3
36,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9721739130434782,Inception-V3,inceptionv3,HoleAlign Test,299 x 299,False,fold_4
36,1.0,1.0,1.0,1.0,Inception-V3,inceptionv3,HoleAlign Test,299 x 299,False,fold_5
180,0.5111111111111111,0.7352525252525252,0.5111111111111112,0.4625241645954157,Inception-V3,inceptionv3,Original RR,299 x 299,False,fold_1
180,0.5055555555555555,0.7443644304871225,0.5055555555555556,0.4567461696917576,Inception-V3,inceptionv3,Original RR,299 x 299,False,fold_2
180,0.48333333333333334,0.781578947368421,0.48333333333333334,0.4254439511653718,Inception-V3,inceptionv3,Original RR,299 x 299,False,fold_3
180,0.5222222222222223,0.752082362082362,0.5222222222222223,0.4792883436899664,Inception-V3,inceptionv3,Original RR,299 x 299,False,fold_4
180,0.5388888888888889,0.7828696126568467,0.5388888888888889,0.5037729479394998,Inception-V3,inceptionv3,Original RR,299 x 299,False,fold_5
180,1.0,1.0,1.0,1.0,Inception-V3,inceptionv3,RR + HoleAlign,299 x 299,False,fold_1
180,1.0,1.0,1.0,1.0,Inception-V3,inceptionv3,RR + HoleAlign,299 x 299,False,fold_2
180,1.0,1.0,1.0,1.0,Inception-V3,inceptionv3,RR + HoleAlign,299 x 299,False,fold_3
180,1.0,1.0,1.0,1.0,Inception-V3,inceptionv3,RR + HoleAlign,299 x 299,False,fold_4
180,1.0,1.0,1.0,1.0,Inception-V3,inceptionv3,RR + HoleAlign,299 x 299,False,fold_5
